mileage_m,normal_force_N,penetration_m,rail_irregularity_m,iterations
3.624999999999992117e-01,7.737273960652014648e+04,4.276153445525988049e-05,0.000000000000000000e+00,9.000000000000000000e+00
3.649999999999991585e-01,7.700855592685223382e+04,4.262724688917702063e-05,0.000000000000000000e+00,1.100000000000000000e+01
3.674999999999991607e-01,7.639753633853523934e+04,4.240146549763958292e-05,0.000000000000000000e+00,1.100000000000000000e+01
3.699999999999991629e-01,7.556424771806155331e+04,4.209257942416236677e-05,0.000000000000000000e+00,1.200000000000000000e+01
3.724999999999991096e-01,7.454113684318111336e+04,4.171177193945574451e-05,0.000000000000000000e+00,1.200000000000000000e+01
3.749999999999991118e-01,7.336695887833437882e+04,4.127258237840306446e-05,0.000000000000000000e+00,1.300000000000000000e+01
3.774999999999991140e-01,7.208500405953110021e+04,4.079039549379248110e-05,0.000000000000000000e+00,1.300000000000000000e+01
3.799999999999991163e-01,7.074123081782441295e+04,4.028187763284473056e-05,0.000000000000000000e+00,1.400000000000000000e+01
3.824999999999990630e-01,6.938241478571652260e+04,3.976438212714724063e-05,0.000000000000000000e+00,1.400000000000000000e+01
3.849999999999990652e-01,6.805441240931609354e+04,3.925534727316879494e-05,0.000000000000000000e+00,1.300000000000000000e+01
3.874999999999990674e-01,6.680061684280441841e+04,3.877170918135742280e-05,0.000000000000000000e+00,1.300000000000000000e+01
3.899999999999990141e-01,6.566065585421009746e+04,3.832934892443387310e-05,0.000000000000000000e+00,1.200000000000000000e+01
3.924999999999990163e-01,6.466935478896972199e+04,3.794259090468040117e-05,0.000000000000000000e+00,1.200000000000000000e+01
3.949999999999990186e-01,6.385596000219079724e+04,3.762376532952221148e-05,0.000000000000000000e+00,1.200000000000000000e+01
3.974999999999989653e-01,6.324359794349379081e+04,3.738284448401087314e-05,0.000000000000000000e+00,1.100000000000000000e+01
3.999999999999989675e-01,6.284893376861710567e+04,3.722716014154713932e-05,0.000000000000000000e+00,1.100000000000000000e+01
4.024999999999989697e-01,6.268198590309883730e+04,3.716120569783192175e-05,0.000000000000000000e+00,1.000000000000000000e+01
4.049999999999989164e-01,6.274605991458260542e+04,3.718652570019953058e-05,0.000000000000000000e+00,9.000000000000000000e+00
4.074999999999989186e-01,6.303777223189471260e+04,3.730169234215120744e-05,0.000000000000000000e+00,1.000000000000000000e+01
4.099999999999989209e-01,6.354715291678057110e+04,3.750236846501176500e-05,0.000000000000000000e+00,1.100000000000000000e+01
4.124999999999988676e-01,6.425783403718708723e+04,3.778145563839308690e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.149999999999988698e-01,6.514734374354732427e+04,3.812932407957274838e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.174999999999988720e-01,6.618753567296631809e+04,3.853411942382028017e-05,0.000000000000000000e+00,1.200000000000000000e+01
4.199999999999988187e-01,6.734518768935157277e+04,3.898213995762449691e-05,0.000000000000000000e+00,1.300000000000000000e+01
4.224999999999988209e-01,6.858280068994357134e+04,3.945827623336478249e-05,0.000000000000000000e+00,1.400000000000000000e+01
4.249999999999988232e-01,6.985961482614667329e+04,3.994650204208398489e-05,0.000000000000000000e+00,1.400000000000000000e+01
